tconst	averageRating	numVotes
tt0000001	5.6	1644
tt0000002	6.1	198
tt0000003	6.5	1340
tt0000004	6.2	120
tt0000005	6.1	2125
tt0000006	5.3	115
tt0000007	5.5	651
tt0000008	5.4	1805
tt0000009	5.9	154
tt0000010	6.9	6017
tt0000011	5.2	262
tt0000012	7.4	10285
tt0000013	5.7	1571
tt0000014	7.1	4597
tt0000015	6.1	816
tt0000016	5.9	1199
tt0000017	4.6	241
tt0000018	5.3	478
tt0000019	5.3	20
tt0000020	5.0	266
tt0000022	5.1	887
tt0000023	5.7	1140
tt0000024	4.5	50
tt0000025	4.2	29
tt0000026	5.7	1312
tt0000027	5.6	924
tt0000028	5.1	856
tt0000029	5.9	2849
tt0000030	5.2	686
tt0000031	5.5	836
tt0000032	5.1	338
tt0000033	5.6	855
tt0000034	5.3	128
tt0000035	5.6	59
tt0000036	4.4	491
tt0000037	4.7	43
tt0000038	4.1	148
tt0000039	3.7	15
tt0000040	4.3	40
tt0000041	6.6	1422
tt0000042	4.8	24
tt0000043	4.0	15
tt0000044	4.7	30
tt0000045	4.9	19
tt0000046	4.6	19
tt0000047	4.0	18
tt0000048	4.8	128
tt0000049	5.4	25
tt0000050	4.5	16
tt0000051	4.2	17
tt0000052	4.6	60
tt0000053	2.8	9
tt0000054	5.4	21
tt0000055	4.1	18
tt0000056	3.5	12
tt0000057	4.7	17
tt0000058	4.6	16
tt0000059	4.0	16
tt0000060	7.6	62
tt0000061	4.1	14
tt0000062	6.5	159
tt0000063	3.9	15
tt0000064	3.6	15
tt0000065	3.9	15
tt0000066	3.9	15
tt0000067	5.9	43
tt0000068	4.1	14
tt0000069	4.8	351
tt0000070	6.4	2260
tt0000071	4.0	17
tt0000072	4.5	16
tt0000073	4.0	14
tt0000074	4.5	17
tt0000075	6.3	1562
tt0000076	4.5	430
tt0000077	5.1	20
tt0000078	4.2	49
tt0000079	4.6	19
tt0000080	4.3	15
tt0000081	4.4	16
tt0000082	4.8	25
tt0000083	5.0	20
tt0000084	4.7	17
tt0000085	5.1	18
tt0000086	4.4	16
tt0000087	5.0	20
tt0000088	5.1	17
tt0000089	6.2	831
tt0000090	4.4	16
tt0000091	6.7	2775
tt0000092	4.9	14
tt0000093	4.9	66
tt0000094	4.6	15
tt0000095	5.0	22
tt0000096	4.6	13
tt0000097	5.3	19
tt0000098	5.7	21
tt0000099	4.9	16
tt0000100	5.2	34
